position,feature_name
99,std_MFCC_1st_coef
100,std_MFCC_2nd_coef
101,std_MFCC_3rd_coef
102,std_MFCC_4th_coef
103,std_MFCC_5th_coef
104,std_MFCC_6th_coef
105,std_MFCC_7th_coef
106,std_MFCC_8th_coef
107,std_MFCC_9th_coef
108,std_MFCC_10th_coef
109,std_MFCC_11th_coef
110,std_MFCC_12th_coef
111,std_delta_log_energy
112,std_0th_delta
113,std_1st_delta
114,std_2nd_delta
115,std_3rd_delta
116,std_4th_delta
117,std_5th_delta
118,std_6th_delta
119,std_7th_delta
120,std_8th_delta
121,std_9th_delta
122,std_10th_delta
123,std_11th_delta
124,std_12th_delta
125,std_delta_delta_log_energy
126,std_delta_delta_0th
127,std_1st_delta_delta
128,std_2nd_delta_delta
129,std_3rd_delta_delta
130,std_4th_delta_delta
131,std_5th_delta_delta
132,std_6th_delta_delta
133,std_7th_delta_delta
134,std_8th_delta_delta
135,std_9th_delta_delta
136,std_10th_delta_delta
137,std_11th_delta_delta
138,std_12th_delta_delta
139,Ea
140,Ed_1_coef
141,Ed_2_coef
142,Ed_3_coef
143,Ed_4_coef
144,Ed_5_coef
145,Ed_6_coef
146,Ed_7_coef
147,Ed_8_coef
148,Ed_9_coef
149,Ed_10_coef
150,det_entropy_shannon_1_coef
151,det_entropy_shannon_2_coef
152,det_entropy_shannon_3_coef
153,det_entropy_shannon_4_coef
154,det_entropy_shannon_5_coef
155,det_entropy_shannon_6_coef
156,det_entropy_shannon_7_coef
157,det_entropy_shannon_8_coef
158,det_entropy_shannon_9_coef
159,det_entropy_shannon_10_coef
160,det_entropy_log_1_coef
161,det_entropy_log_2_coef
162,det_entropy_log_3_coef
163,det_entropy_log_4_coef
164,det_entropy_log_5_coef
165,det_entropy_log_6_coef
166,det_entropy_log_7_coef
167,det_entropy_log_8_coef
168,det_entropy_log_9_coef
169,det_entropy_log_10_coef
170,det_TKEO_mean_1_coef
171,det_TKEO_mean_2_coef
172,det_TKEO_mean_3_coef
173,det_TKEO_mean_4_coef
174,det_TKEO_mean_5_coef
175,det_TKEO_mean_6_coef
176,det_TKEO_mean_7_coef
177,det_TKEO_mean_8_coef
178,det_TKEO_mean_9_coef
179,det_TKEO_mean_10_coef
180,det_TKEO_std_1_coef
181,det_TKEO_std_2_coef
182,det_TKEO_std_3_coef
183,det_TKEO_std_4_coef
184,det_TKEO_std_5_coef
185,det_TKEO_std_6_coef
186,det_TKEO_std_7_coef
187,det_TKEO_std_8_coef
188,det_TKEO_std_9_coef
189,det_TKEO_std_10_coef
190,app_entropy_shannon_1_coef
191,app_entropy_shannon_2_coef
192,app_entropy_shannon_3_coef
193,app_entropy_shannon_4_coef
194,app_entropy_shannon_5_coef
195,app_entropy_shannon_6_coef
196,app_entropy_shannon_7_coef
197,app_entropy_shannon_8_coef
198,app_entropy_shannon_9_coef
199,app_entropy_shannon_10_coef
200,app_entropy_log_1_coef
201,app_entropy_log_2_coef
202,app_entropy_log_3_coef
203,app_entropy_log_4_coef
204,app_entropy_log_5_coef
205,app_entropy_log_6_coef
206,app_entropy_log_7_coef
207,app_entropy_log_8_coef
208,app_entropy_log_9_coef
209,app_entropy_log_10_coef
210,app_det_TKEO_mean_1_coef
211,app_det_TKEO_mean_2_coef
212,app_det_TKEO_mean_3_coef
213,app_det_TKEO_mean_4_coef
214,app_det_TKEO_mean_5_coef
215,app_det_TKEO_mean_6_coef
216,app_det_TKEO_mean_7_coef
217,app_det_TKEO_mean_8_coef
218,app_det_TKEO_mean_9_coef
219,app_det_TKEO_mean_10_coef
220,app_TKEO_std_1_coef
221,app_TKEO_std_2_coef
222,app_TKEO_std_3_coef
223,app_TKEO_std_4_coef
224,app_TKEO_std_5_coef
225,app_TKEO_std_6_coef
226,app_TKEO_std_7_coef
227,app_TKEO_std_8_coef
228,app_TKEO_std_9_coef
229,app_TKEO_std_10_coef
230,Ea2
231,Ed2_1_coef
232,Ed2_2_coef
233,Ed2_3_coef
234,Ed2_4_coef
235,Ed2_5_coef
236,Ed2_6_coef
237,Ed2_7_coef
238,Ed2_8_coef
239,Ed2_9_coef
240,Ed2_10_coef
241,det_LT_entropy_shannon_1_coef
242,det_LT_entropy_shannon_2_coef
243,det_LT_entropy_shannon_3_coef
244,det_LT_entropy_shannon_4_coef
245,det_LT_entropy_shannon_5_coef
246,det_LT_entropy_shannon_6_coef
247,det_LT_entropy_shannon_7_coef
248,det_LT_entropy_shannon_8_coef
249,det_LT_entropy_shannon_9_coef
250,det_LT_entropy_shannon_10_coef
251,det_LT_entropy_log_1_coef
252,det_LT_entropy_log_2_coef
253,det_LT_entropy_log_3_coef
254,det_LT_entropy_log_4_coef
255,det_LT_entropy_log_5_coef
256,det_LT_entropy_log_6_coef
257,det_LT_entropy_log_7_coef
258,det_LT_entropy_log_8_coef
259,det_LT_entropy_log_9_coef
260,det_LT_entropy_log_10_coef
261,det_LT_TKEO_mean_1_coef
262,det_LT_TKEO_mean_2_coef
263,det_LT_TKEO_mean_3_coef
264,det_LT_TKEO_mean_4_coef
265,det_LT_TKEO_mean_5_coef
266,det_LT_TKEO_mean_6_coef
267,det_LT_TKEO_mean_7_coef
268,det_LT_TKEO_mean_8_coef
269,det_LT_TKEO_mean_9_coef
270,det_LT_TKEO_mean_10_coef
271,det_LT_TKEO_std_1_coef
272,det_LT_TKEO_std_2_coef
273,det_LT_TKEO_std_3_coef
274,det_LT_TKEO_std_4_coef
275,det_LT_TKEO_std_5_coef
276,det_LT_TKEO_std_6_coef
277,det_LT_TKEO_std_7_coef
278,det_LT_TKEO_std_8_coef
279,det_LT_TKEO_std_9_coef
280,det_LT_TKEO_std_10_coef
281,app_LT_entropy_shannon_1_coef
282,app_LT_entropy_shannon_2_coef
283,app_LT_entropy_shannon_3_coef
284,app_LT_entropy_shannon_4_coef
285,app_LT_entropy_shannon_5_coef
286,app_LT_entropy_shannon_6_coef
287,app_LT_entropy_shannon_7_coef
288,app_LT_entropy_shannon_8_coef
289,app_LT_entropy_shannon_9_coef
290,app_LT_entropy_shannon_10_coef
291,app_LT_entropy_log_1_coef
292,app_LT_entropy_log_2_coef
293,app_LT_entropy_log_3_coef
294,app_LT_entropy_log_4_coef
295,app_LT_entropy_log_5_coef
296,app_LT_entropy_log_6_coef
297,app_LT_entropy_log_7_coef
298,app_LT_entropy_log_8_coef
299,app_LT_entropy_log_9_coef
300,app_LT_entropy_log_10_coef
301,app_LT_TKEO_mean_1_coef
302,app_LT_TKEO_mean_2_coef
303,app_LT_TKEO_mean_3_coef
304,app_LT_TKEO_mean_4_coef
305,app_LT_TKEO_mean_5_coef
306,app_LT_TKEO_mean_6_coef
307,app_LT_TKEO_mean_7_coef
308,app_LT_TKEO_mean_8_coef
309,app_LT_TKEO_mean_9_coef
310,app_LT_TKEO_mean_10_coef
311,app_LT_TKEO_std_1_coef
312,app_LT_TKEO_std_2_coef
313,app_LT_TKEO_std_3_coef
314,app_LT_TKEO_std_4_coef
315,app_LT_TKEO_std_5_coef
316,app_LT_TKEO_std_6_coef
317,app_LT_TKEO_std_7_coef
318,app_LT_TKEO_std_8_coef
319,app_LT_TKEO_std_9_coef
320,app_LT_TKEO_std_10_coef
321,tqwt_energy_dec_1
322,tqwt_energy_dec_2
323,tqwt_energy_dec_3
324,tqwt_energy_dec_4
325,tqwt_energy_dec_5
326,tqwt_energy_dec_6
327,tqwt_energy_dec_7
328,tqwt_energy_dec_8
329,tqwt_energy_dec_9
330,tqwt_energy_dec_10
331,tqwt_energy_dec_11
332,tqwt_energy_dec_12
333,tqwt_energy_dec_13
334,tqwt_energy_dec_14
335,tqwt_energy_dec_15
336,tqwt_energy_dec_16
337,tqwt_energy_dec_17
338,tqwt_energy_dec_18
339,tqwt_energy_dec_19
340,tqwt_energy_dec_20
341,tqwt_energy_dec_21
342,tqwt_energy_dec_22
343,tqwt_energy_dec_23
344,tqwt_energy_dec_24
345,tqwt_energy_dec_25
346,tqwt_energy_dec_26
347,tqwt_energy_dec_27
348,tqwt_energy_dec_28
349,tqwt_energy_dec_29
350,tqwt_energy_dec_30
351,tqwt_energy_dec_31
352,tqwt_energy_dec_32
353,tqwt_energy_dec_33
354,tqwt_energy_dec_34
355,tqwt_energy_dec_35
356,tqwt_energy_dec_36
357,tqwt_entropy_shannon_dec_1
358,tqwt_entropy_shannon_dec_2
359,tqwt_entropy_shannon_dec_3
360,tqwt_entropy_shannon_dec_4
361,tqwt_entropy_shannon_dec_5
362,tqwt_entropy_shannon_dec_6
363,tqwt_entropy_shannon_dec_7
364,tqwt_entropy_shannon_dec_8
365,tqwt_entropy_shannon_dec_9
366,tqwt_entropy_shannon_dec_10
367,tqwt_entropy_shannon_dec_11
368,tqwt_entropy_shannon_dec_12
369,tqwt_entropy_shannon_dec_13
370,tqwt_entropy_shannon_dec_14
371,tqwt_entropy_shannon_dec_15
372,tqwt_entropy_shannon_dec_16
373,tqwt_entropy_shannon_dec_17
374,tqwt_entropy_shannon_dec_18
375,tqwt_entropy_shannon_dec_19
376,tqwt_entropy_shannon_dec_20
377,tqwt_entropy_shannon_dec_21
378,tqwt_entropy_shannon_dec_22
379,tqwt_entropy_shannon_dec_23
380,tqwt_entropy_shannon_dec_24
381,tqwt_entropy_shannon_dec_25
382,tqwt_entropy_shannon_dec_26
383,tqwt_entropy_shannon_dec_27
384,tqwt_entropy_shannon_dec_28
385,tqwt_entropy_shannon_dec_29
386,tqwt_entropy_shannon_dec_30
387,tqwt_entropy_shannon_dec_31
388,tqwt_entropy_shannon_dec_32
389,tqwt_entropy_shannon_dec_33
390,tqwt_entropy_shannon_dec_34
391,tqwt_entropy_shannon_dec_35
392,tqwt_entropy_shannon_dec_36
393,tqwt_entropy_log_dec_1
394,tqwt_entropy_log_dec_2
395,tqwt_entropy_log_dec_3
396,tqwt_entropy_log_dec_4
397,tqwt_entropy_log_dec_5
398,tqwt_entropy_log_dec_6
399,tqwt_entropy_log_dec_7
400,tqwt_entropy_log_dec_8
401,tqwt_entropy_log_dec_9
402,tqwt_entropy_log_dec_10
403,tqwt_entropy_log_dec_11
404,tqwt_entropy_log_dec_12
405,tqwt_entropy_log_dec_13
406,tqwt_entropy_log_dec_14
407,tqwt_entropy_log_dec_15
408,tqwt_entropy_log_dec_16
409,tqwt_entropy_log_dec_17
410,tqwt_entropy_log_dec_18
411,tqwt_entropy_log_dec_19
412,tqwt_entropy_log_dec_20
413,tqwt_entropy_log_dec_21
414,tqwt_entropy_log_dec_22
415,tqwt_entropy_log_dec_23
416,tqwt_entropy_log_dec_24
417,tqwt_entropy_log_dec_25
418,tqwt_entropy_log_dec_26
419,tqwt_entropy_log_dec_27
420,tqwt_entropy_log_dec_28
421,tqwt_entropy_log_dec_29
422,tqwt_entropy_log_dec_30
423,tqwt_entropy_log_dec_31
424,tqwt_entropy_log_dec_32
425,tqwt_entropy_log_dec_33
426,tqwt_entropy_log_dec_34
427,tqwt_entropy_log_dec_35
428,tqwt_entropy_log_dec_36
429,tqwt_TKEO_mean_dec_1
430,tqwt_TKEO_mean_dec_2
431,tqwt_TKEO_mean_dec_3
432,tqwt_TKEO_mean_dec_4
433,tqwt_TKEO_mean_dec_5
434,tqwt_TKEO_mean_dec_6
435,tqwt_TKEO_mean_dec_7
436,tqwt_TKEO_mean_dec_8
437,tqwt_TKEO_mean_dec_9
438,tqwt_TKEO_mean_dec_10
439,tqwt_TKEO_mean_dec_11
440,tqwt_TKEO_mean_dec_12
441,tqwt_TKEO_mean_dec_13
442,tqwt_TKEO_mean_dec_14
443,tqwt_TKEO_mean_dec_15
444,tqwt_TKEO_mean_dec_16
445,tqwt_TKEO_mean_dec_17
446,tqwt_TKEO_mean_dec_18
447,tqwt_TKEO_mean_dec_19
448,tqwt_TKEO_mean_dec_20
449,tqwt_TKEO_mean_dec_21
450,tqwt_TKEO_mean_dec_22
451,tqwt_TKEO_mean_dec_23
452,tqwt_TKEO_mean_dec_24
453,tqwt_TKEO_mean_dec_25
454,tqwt_TKEO_mean_dec_26
455,tqwt_TKEO_mean_dec_27
456,tqwt_TKEO_mean_dec_28
457,tqwt_TKEO_mean_dec_29
458,tqwt_TKEO_mean_dec_30
459,tqwt_TKEO_mean_dec_31
460,tqwt_TKEO_mean_dec_32
461,tqwt_TKEO_mean_dec_33
462,tqwt_TKEO_mean_dec_34
463,tqwt_TKEO_mean_dec_35
464,tqwt_TKEO_mean_dec_36
465,tqwt_TKEO_std_dec_1
466,tqwt_TKEO_std_dec_2
467,tqwt_TKEO_std_dec_3
468,tqwt_TKEO_std_dec_4
469,tqwt_TKEO_std_dec_5
470,tqwt_TKEO_std_dec_6
471,tqwt_TKEO_std_dec_7
472,tqwt_TKEO_std_dec_8
473,tqwt_TKEO_std_dec_9
474,tqwt_TKEO_std_dec_10
475,tqwt_TKEO_std_dec_11
476,tqwt_TKEO_std_dec_12
477,tqwt_TKEO_std_dec_13
478,tqwt_TKEO_std_dec_14
479,tqwt_TKEO_std_dec_15
480,tqwt_TKEO_std_dec_16
481,tqwt_TKEO_std_dec_17
482,tqwt_TKEO_std_dec_18
483,tqwt_TKEO_std_dec_19
484,tqwt_TKEO_std_dec_20
485,tqwt_TKEO_std_dec_21
486,tqwt_TKEO_std_dec_22
487,tqwt_TKEO_std_dec_23
488,tqwt_TKEO_std_dec_24
489,tqwt_TKEO_std_dec_25
490,tqwt_TKEO_std_dec_26
491,tqwt_TKEO_std_dec_27
492,tqwt_TKEO_std_dec_28
493,tqwt_TKEO_std_dec_29
494,tqwt_TKEO_std_dec_30
495,tqwt_TKEO_std_dec_31
496,tqwt_TKEO_std_dec_32
497,tqwt_TKEO_std_dec_33
498,tqwt_TKEO_std_dec_34
499,tqwt_TKEO_std_dec_35
500,tqwt_TKEO_std_dec_36
501,tqwt_medianValue_dec_1
502,tqwt_medianValue_dec_2
503,tqwt_medianValue_dec_3
504,tqwt_medianValue_dec_4
505,tqwt_medianValue_dec_5
506,tqwt_medianValue_dec_6
507,tqwt_medianValue_dec_7
508,tqwt_medianValue_dec_8
509,tqwt_medianValue_dec_9
510,tqwt_medianValue_dec_10
511,tqwt_medianValue_dec_11
512,tqwt_medianValue_dec_12
513,tqwt_medianValue_dec_13
514,tqwt_medianValue_dec_14
515,tqwt_medianValue_dec_15
516,tqwt_medianValue_dec_16
517,tqwt_medianValue_dec_17
518,tqwt_medianValue_dec_18
519,tqwt_medianValue_dec_19
520,tqwt_medianValue_dec_20
521,tqwt_medianValue_dec_21
522,tqwt_medianValue_dec_22
523,tqwt_medianValue_dec_23
524,tqwt_medianValue_dec_24
525,tqwt_medianValue_dec_25
526,tqwt_medianValue_dec_26
527,tqwt_medianValue_dec_27
528,tqwt_medianValue_dec_28
529,tqwt_medianValue_dec_29
530,tqwt_medianValue_dec_30
531,tqwt_medianValue_dec_31
532,tqwt_medianValue_dec_32
533,tqwt_medianValue_dec_33
534,tqwt_medianValue_dec_34
535,tqwt_medianValue_dec_35
536,tqwt_medianValue_dec_36
537,tqwt_meanValue_dec_1
538,tqwt_meanValue_dec_2
539,tqwt_meanValue_dec_3
540,tqwt_meanValue_dec_4
541,tqwt_meanValue_dec_5
542,tqwt_meanValue_dec_6
543,tqwt_meanValue_dec_7
544,tqwt_meanValue_dec_8
545,tqwt_meanValue_dec_9
546,tqwt_meanValue_dec_10
547,tqwt_meanValue_dec_11
548,tqwt_meanValue_dec_12
549,tqwt_meanValue_dec_13
550,tqwt_meanValue_dec_14
551,tqwt_meanValue_dec_15
552,tqwt_meanValue_dec_16
553,tqwt_meanValue_dec_17
554,tqwt_meanValue_dec_18
555,tqwt_meanValue_dec_19
556,tqwt_meanValue_dec_20
557,tqwt_meanValue_dec_21
558,tqwt_meanValue_dec_22
559,tqwt_meanValue_dec_23
560,tqwt_meanValue_dec_24
561,tqwt_meanValue_dec_25
562,tqwt_meanValue_dec_26
563,tqwt_meanValue_dec_27
564,tqwt_meanValue_dec_28
565,tqwt_meanValue_dec_29
566,tqwt_meanValue_dec_30
567,tqwt_meanValue_dec_31
568,tqwt_meanValue_dec_32
569,tqwt_meanValue_dec_33
570,tqwt_meanValue_dec_34
571,tqwt_meanValue_dec_35
572,tqwt_meanValue_dec_36
573,tqwt_stdValue_dec_1
574,tqwt_stdValue_dec_2
575,tqwt_stdValue_dec_3
576,tqwt_stdValue_dec_4
577,tqwt_stdValue_dec_5
578,tqwt_stdValue_dec_6
579,tqwt_stdValue_dec_7
580,tqwt_stdValue_dec_8
581,tqwt_stdValue_dec_9
582,tqwt_stdValue_dec_10
583,tqwt_stdValue_dec_11
584,tqwt_stdValue_dec_12
585,tqwt_stdValue_dec_13
586,tqwt_stdValue_dec_14
587,tqwt_stdValue_dec_15
588,tqwt_stdValue_dec_16
589,tqwt_stdValue_dec_17
590,tqwt_stdValue_dec_18
591,tqwt_stdValue_dec_19
592,tqwt_stdValue_dec_20
593,tqwt_stdValue_dec_21
594,tqwt_stdValue_dec_22
595,tqwt_stdValue_dec_23
596,tqwt_stdValue_dec_24
597,tqwt_stdValue_dec_25
598,tqwt_stdValue_dec_26
599,tqwt_stdValue_dec_27
600,tqwt_stdValue_dec_28
601,tqwt_stdValue_dec_29
602,tqwt_stdValue_dec_30
603,tqwt_stdValue_dec_31
604,tqwt_stdValue_dec_32
605,tqwt_stdValue_dec_33
606,tqwt_stdValue_dec_34
607,tqwt_stdValue_dec_35
608,tqwt_stdValue_dec_36
609,tqwt_minValue_dec_1
610,tqwt_minValue_dec_2
611,tqwt_minValue_dec_3
612,tqwt_minValue_dec_4
613,tqwt_minValue_dec_5
614,tqwt_minValue_dec_6
615,tqwt_minValue_dec_7
616,tqwt_minValue_dec_8
617,tqwt_minValue_dec_9
618,tqwt_minValue_dec_10
619,tqwt_minValue_dec_11
620,tqwt_minValue_dec_12
621,tqwt_minValue_dec_13
622,tqwt_minValue_dec_14
623,tqwt_minValue_dec_15
624,tqwt_minValue_dec_16
625,tqwt_minValue_dec_17
626,tqwt_minValue_dec_18
627,tqwt_minValue_dec_19
628,tqwt_minValue_dec_20
629,tqwt_minValue_dec_21
630,tqwt_minValue_dec_22
631,tqwt_minValue_dec_23
632,tqwt_minValue_dec_24
633,tqwt_minValue_dec_25
634,tqwt_minValue_dec_26
635,tqwt_minValue_dec_27
636,tqwt_minValue_dec_28
637,tqwt_minValue_dec_29
638,tqwt_minValue_dec_30
639,tqwt_minValue_dec_31
640,tqwt_minValue_dec_32
641,tqwt_minValue_dec_33
642,tqwt_minValue_dec_34
643,tqwt_minValue_dec_35
644,tqwt_minValue_dec_36
645,tqwt_maxValue_dec_1
646,tqwt_maxValue_dec_2
647,tqwt_maxValue_dec_3
648,tqwt_maxValue_dec_4
649,tqwt_maxValue_dec_5
650,tqwt_maxValue_dec_6
651,tqwt_maxValue_dec_7
652,tqwt_maxValue_dec_8
653,tqwt_maxValue_dec_9
654,tqwt_maxValue_dec_10
655,tqwt_maxValue_dec_11
656,tqwt_maxValue_dec_12
657,tqwt_maxValue_dec_13
658,tqwt_maxValue_dec_14
659,tqwt_maxValue_dec_15
660,tqwt_maxValue_dec_16
661,tqwt_maxValue_dec_17
662,tqwt_maxValue_dec_18
663,tqwt_maxValue_dec_19
664,tqwt_maxValue_dec_20
665,tqwt_maxValue_dec_21
666,tqwt_maxValue_dec_22
667,tqwt_maxValue_dec_23
668,tqwt_maxValue_dec_24
669,tqwt_maxValue_dec_25
670,tqwt_maxValue_dec_26
671,tqwt_maxValue_dec_27
672,tqwt_maxValue_dec_28
673,tqwt_maxValue_dec_29
674,tqwt_maxValue_dec_30
675,tqwt_maxValue_dec_31
676,tqwt_maxValue_dec_32
677,tqwt_maxValue_dec_33
678,tqwt_maxValue_dec_34
679,tqwt_maxValue_dec_35
680,tqwt_maxValue_dec_36
681,tqwt_skewnessValue_dec_1
682,tqwt_skewnessValue_dec_2
683,tqwt_skewnessValue_dec_3
684,tqwt_skewnessValue_dec_4
685,tqwt_skewnessValue_dec_5
686,tqwt_skewnessValue_dec_6
687,tqwt_skewnessValue_dec_7
688,tqwt_skewnessValue_dec_8
689,tqwt_skewnessValue_dec_9
690,tqwt_skewnessValue_dec_10
691,tqwt_skewnessValue_dec_11
692,tqwt_skewnessValue_dec_12
693,tqwt_skewnessValue_dec_13
694,tqwt_skewnessValue_dec_14
695,tqwt_skewnessValue_dec_15
696,tqwt_skewnessValue_dec_16
697,tqwt_skewnessValue_dec_17
698,tqwt_skewnessValue_dec_18
699,tqwt_skewnessValue_dec_19
700,tqwt_skewnessValue_dec_20
701,tqwt_skewnessValue_dec_21
702,tqwt_skewnessValue_dec_22
703,tqwt_skewnessValue_dec_23
704,tqwt_skewnessValue_dec_24
705,tqwt_skewnessValue_dec_25
706,tqwt_skewnessValue_dec_26
707,tqwt_skewnessValue_dec_27
708,tqwt_skewnessValue_dec_28
709,tqwt_skewnessValue_dec_29
710,tqwt_skewnessValue_dec_30
711,tqwt_skewnessValue_dec_31
712,tqwt_skewnessValue_dec_32
713,tqwt_skewnessValue_dec_33
714,tqwt_skewnessValue_dec_34
715,tqwt_skewnessValue_dec_35
716,tqwt_skewnessValue_dec_36
717,tqwt_kurtosisValue_dec_1
718,tqwt_kurtosisValue_dec_2
719,tqwt_kurtosisValue_dec_3
720,tqwt_kurtosisValue_dec_4
721,tqwt_kurtosisValue_dec_5
722,tqwt_kurtosisValue_dec_6
723,tqwt_kurtosisValue_dec_7
724,tqwt_kurtosisValue_dec_8
725,tqwt_kurtosisValue_dec_9
726,tqwt_kurtosisValue_dec_10
727,tqwt_kurtosisValue_dec_11
728,tqwt_kurtosisValue_dec_12
729,tqwt_kurtosisValue_dec_13
730,tqwt_kurtosisValue_dec_14
731,tqwt_kurtosisValue_dec_15
732,tqwt_kurtosisValue_dec_16
733,tqwt_kurtosisValue_dec_17
734,tqwt_kurtosisValue_dec_18
735,tqwt_kurtosisValue_dec_19
736,tqwt_kurtosisValue_dec_20
737,tqwt_kurtosisValue_dec_21
738,tqwt_kurtosisValue_dec_22
739,tqwt_kurtosisValue_dec_23
740,tqwt_kurtosisValue_dec_24
741,tqwt_kurtosisValue_dec_25
742,tqwt_kurtosisValue_dec_26
743,tqwt_kurtosisValue_dec_27
744,tqwt_kurtosisValue_dec_28
745,tqwt_kurtosisValue_dec_29
746,tqwt_kurtosisValue_dec_30
747,tqwt_kurtosisValue_dec_31
748,tqwt_kurtosisValue_dec_32
749,tqwt_kurtosisValue_dec_33
750,tqwt_kurtosisValue_dec_34
751,tqwt_kurtosisValue_dec_35
752,tqwt_kurtosisValue_dec_36
