feature,missing_count,missing_percentage
meanNoiseToHarmHarmonicity,2,0.265
mean_MFCC_9th_coef,2,0.265
mean_MFCC_4th_coef,2,0.265
mean_MFCC_11th_coef,2,0.265
mean_11th_delta,2,0.265
mean_11th_delta_delta,2,0.265
mean_10th_delta_delta,2,0.265
mean_9th_delta_delta,2,0.265
mean_8th_delta_delta,2,0.265
mean_7th_delta_delta,2,0.265
mean_6th_delta_delta,2,0.265
mean_5th_delta_delta,2,0.265
mean_3rd_delta_delta,2,0.265
mean_2nd_delta_delta,2,0.265
mean_1st_delta_delta,2,0.265
mean_delta_delta_0th,2,0.265
mean_delta_delta_log_energy,2,0.265
mean_12th_delta,2,0.265
mean_4th_delta_delta,2,0.265
mean_10th_delta,2,0.265
mean_3rd_delta,2,0.265
mean_MFCC_12th_coef,2,0.265
mean_delta_log_energy,2,0.265
mean_0th_delta,2,0.265
mean_1st_delta,2,0.265
mean_2nd_delta,2,0.265
mean_9th_delta,2,0.265
maxIntensity,2,0.265
mean_6th_delta,2,0.265
mean_8th_delta,2,0.265
mean_7th_delta,2,0.265
mean_4th_delta,2,0.265
mean_5th_delta,2,0.265
minIntensity,1,0.132
meanHarmToNoiseHarmonicity,1,0.132
meanAutoCorrHarmonicity,1,0.132
ddaShimmer,1,0.132
apq5Shimmer,1,0.132
apq3Shimmer,1,0.132
ddpJitter,1,0.132
locShimmer,1,0.132
RPDE,1,0.132
rapJitter,1,0.132
app_entropy_shannon_7_coef,1,0.132
stdDevPeriodPulses,1,0.132
meanPeriodPulses,1,0.132
numPeriodsPulses,1,0.132
numPulses,1,0.132
locPctJitter,1,0.132
apq11Shimmer,1,0.132
meanIntensity,1,0.132
GQ_prc5_95,1,0.132
f1,1,0.132
GNE_NSR_SEO,1,0.132
GNE_NSR_TKEO,1,0.132
GNE_SNR_TKEO,1,0.132
GNE_std,1,0.132
GNE_mean,1,0.132
GQ_std_cycle_closed,1,0.132
GQ_std_cycle_open,1,0.132
GNE_SNR_SEO,1,0.132
b4,1,0.132
b2,1,0.132
b1,1,0.132
f4,1,0.132
f3,1,0.132
b3,1,0.132
f2,1,0.132
tqwt_meanValue_dec_33,0,0.0
tqwt_meanValue_dec_27,0,0.0
tqwt_meanValue_dec_28,0,0.0
tqwt_meanValue_dec_29,0,0.0
tqwt_meanValue_dec_30,0,0.0
tqwt_meanValue_dec_31,0,0.0
tqwt_meanValue_dec_32,0,0.0
tqwt_meanValue_dec_35,0,0.0
tqwt_meanValue_dec_34,0,0.0
tqwt_meanValue_dec_36,0,0.0
tqwt_stdValue_dec_1,0,0.0
tqwt_stdValue_dec_2,0,0.0
tqwt_meanValue_dec_25,0,0.0
tqwt_stdValue_dec_3,0,0.0
tqwt_meanValue_dec_26,0,0.0
tqwt_meanValue_dec_17,0,0.0
tqwt_meanValue_dec_24,0,0.0
tqwt_meanValue_dec_16,0,0.0
tqwt_meanValue_dec_10,0,0.0
tqwt_meanValue_dec_11,0,0.0
tqwt_meanValue_dec_12,0,0.0
tqwt_meanValue_dec_13,0,0.0
tqwt_meanValue_dec_14,0,0.0
tqwt_meanValue_dec_15,0,0.0
tqwt_stdValue_dec_5,0,0.0
tqwt_meanValue_dec_23,0,0.0
tqwt_meanValue_dec_18,0,0.0
tqwt_meanValue_dec_19,0,0.0
tqwt_minValue_dec_3,0,0.0
tqwt_meanValue_dec_20,0,0.0
tqwt_meanValue_dec_21,0,0.0
tqwt_meanValue_dec_22,0,0.0
tqwt_stdValue_dec_4,0,0.0
tqwt_stdValue_dec_14,0,0.0
tqwt_stdValue_dec_6,0,0.0
tqwt_stdValue_dec_32,0,0.0
tqwt_stdValue_dec_26,0,0.0
tqwt_stdValue_dec_27,0,0.0
tqwt_stdValue_dec_28,0,0.0
tqwt_stdValue_dec_29,0,0.0
tqwt_stdValue_dec_30,0,0.0
tqwt_stdValue_dec_31,0,0.0
tqwt_stdValue_dec_33,0,0.0
tqwt_stdValue_dec_7,0,0.0
tqwt_stdValue_dec_34,0,0.0
tqwt_stdValue_dec_35,0,0.0
tqwt_stdValue_dec_36,0,0.0
tqwt_minValue_dec_1,0,0.0
tqwt_meanValue_dec_8,0,0.0
tqwt_minValue_dec_2,0,0.0
tqwt_stdValue_dec_25,0,0.0
tqwt_stdValue_dec_24,0,0.0
tqwt_stdValue_dec_23,0,0.0
tqwt_stdValue_dec_22,0,0.0
tqwt_stdValue_dec_21,0,0.0
tqwt_stdValue_dec_20,0,0.0
tqwt_stdValue_dec_19,0,0.0
tqwt_stdValue_dec_18,0,0.0
tqwt_stdValue_dec_17,0,0.0
tqwt_stdValue_dec_16,0,0.0
tqwt_stdValue_dec_15,0,0.0
tqwt_stdValue_dec_13,0,0.0
tqwt_stdValue_dec_12,0,0.0
tqwt_stdValue_dec_11,0,0.0
tqwt_stdValue_dec_10,0,0.0
tqwt_stdValue_dec_9,0,0.0
tqwt_stdValue_dec_8,0,0.0
tqwt_meanValue_dec_9,0,0.0
gender,0,0.0
tqwt_meanValue_dec_7,0,0.0
tqwt_TKEO_std_dec_35,0,0.0
tqwt_TKEO_std_dec_29,0,0.0
tqwt_TKEO_std_dec_30,0,0.0
tqwt_TKEO_std_dec_31,0,0.0
tqwt_TKEO_std_dec_32,0,0.0
tqwt_TKEO_std_dec_33,0,0.0
tqwt_TKEO_std_dec_34,0,0.0
tqwt_TKEO_std_dec_36,0,0.0
tqwt_TKEO_std_dec_27,0,0.0
tqwt_medianValue_dec_1,0,0.0
tqwt_medianValue_dec_2,0,0.0
tqwt_medianValue_dec_3,0,0.0
tqwt_medianValue_dec_4,0,0.0
tqwt_medianValue_dec_5,0,0.0
tqwt_medianValue_dec_6,0,0.0
tqwt_TKEO_std_dec_28,0,0.0
tqwt_TKEO_std_dec_26,0,0.0
tqwt_meanValue_dec_6,0,0.0
tqwt_TKEO_std_dec_17,0,0.0
tqwt_TKEO_std_dec_12,0,0.0
tqwt_minValue_dec_5,0,0.0
tqwt_TKEO_std_dec_13,0,0.0
tqwt_TKEO_std_dec_14,0,0.0
tqwt_TKEO_std_dec_15,0,0.0
tqwt_TKEO_std_dec_16,0,0.0
tqwt_TKEO_std_dec_18,0,0.0
tqwt_TKEO_std_dec_25,0,0.0
tqwt_TKEO_std_dec_19,0,0.0
tqwt_TKEO_std_dec_20,0,0.0
tqwt_TKEO_std_dec_21,0,0.0
tqwt_TKEO_std_dec_22,0,0.0
tqwt_TKEO_std_dec_23,0,0.0
tqwt_TKEO_std_dec_24,0,0.0
tqwt_medianValue_dec_7,0,0.0
tqwt_medianValue_dec_8,0,0.0
tqwt_medianValue_dec_9,0,0.0
tqwt_medianValue_dec_34,0,0.0
tqwt_medianValue_dec_28,0,0.0
tqwt_medianValue_dec_29,0,0.0
tqwt_medianValue_dec_30,0,0.0
tqwt_medianValue_dec_31,0,0.0
tqwt_medianValue_dec_32,0,0.0
tqwt_medianValue_dec_33,0,0.0
tqwt_medianValue_dec_35,0,0.0
tqwt_medianValue_dec_10,0,0.0
tqwt_medianValue_dec_36,0,0.0
tqwt_meanValue_dec_1,0,0.0
tqwt_meanValue_dec_2,0,0.0
tqwt_meanValue_dec_3,0,0.0
tqwt_meanValue_dec_4,0,0.0
tqwt_meanValue_dec_5,0,0.0
tqwt_medianValue_dec_27,0,0.0
tqwt_medianValue_dec_26,0,0.0
tqwt_medianValue_dec_25,0,0.0
tqwt_medianValue_dec_24,0,0.0
tqwt_medianValue_dec_23,0,0.0
tqwt_medianValue_dec_22,0,0.0
tqwt_medianValue_dec_21,0,0.0
tqwt_medianValue_dec_20,0,0.0
tqwt_medianValue_dec_19,0,0.0
tqwt_medianValue_dec_18,0,0.0
tqwt_medianValue_dec_17,0,0.0
tqwt_medianValue_dec_16,0,0.0
tqwt_medianValue_dec_15,0,0.0
tqwt_medianValue_dec_14,0,0.0
tqwt_medianValue_dec_13,0,0.0
tqwt_medianValue_dec_12,0,0.0
tqwt_medianValue_dec_11,0,0.0
tqwt_minValue_dec_4,0,0.0
tqwt_skewnessValue_dec_30,0,0.0
tqwt_minValue_dec_6,0,0.0
tqwt_skewnessValue_dec_29,0,0.0
tqwt_skewnessValue_dec_23,0,0.0
tqwt_skewnessValue_dec_24,0,0.0
tqwt_skewnessValue_dec_25,0,0.0
tqwt_skewnessValue_dec_26,0,0.0
tqwt_skewnessValue_dec_27,0,0.0
tqwt_skewnessValue_dec_28,0,0.0
tqwt_TKEO_std_dec_10,0,0.0
tqwt_kurtosisValue_dec_2,0,0.0
tqwt_skewnessValue_dec_31,0,0.0
tqwt_skewnessValue_dec_32,0,0.0
tqwt_skewnessValue_dec_33,0,0.0
tqwt_skewnessValue_dec_34,0,0.0
tqwt_skewnessValue_dec_35,0,0.0
tqwt_skewnessValue_dec_36,0,0.0
tqwt_skewnessValue_dec_22,0,0.0
tqwt_skewnessValue_dec_21,0,0.0
tqwt_skewnessValue_dec_20,0,0.0
tqwt_skewnessValue_dec_19,0,0.0
tqwt_skewnessValue_dec_18,0,0.0
tqwt_skewnessValue_dec_17,0,0.0
tqwt_skewnessValue_dec_16,0,0.0
tqwt_skewnessValue_dec_15,0,0.0
tqwt_skewnessValue_dec_14,0,0.0
tqwt_skewnessValue_dec_13,0,0.0
tqwt_skewnessValue_dec_12,0,0.0
tqwt_skewnessValue_dec_11,0,0.0
tqwt_skewnessValue_dec_10,0,0.0
tqwt_skewnessValue_dec_9,0,0.0
tqwt_skewnessValue_dec_8,0,0.0
tqwt_skewnessValue_dec_7,0,0.0
tqwt_skewnessValue_dec_6,0,0.0
tqwt_kurtosisValue_dec_1,0,0.0
tqwt_kurtosisValue_dec_3,0,0.0
tqwt_skewnessValue_dec_4,0,0.0
tqwt_kurtosisValue_dec_28,0,0.0
tqwt_kurtosisValue_dec_22,0,0.0
tqwt_kurtosisValue_dec_23,0,0.0
tqwt_kurtosisValue_dec_24,0,0.0
tqwt_kurtosisValue_dec_25,0,0.0
tqwt_kurtosisValue_dec_26,0,0.0
tqwt_kurtosisValue_dec_27,0,0.0
tqwt_kurtosisValue_dec_29,0,0.0
tqwt_kurtosisValue_dec_4,0,0.0
tqwt_kurtosisValue_dec_30,0,0.0
tqwt_kurtosisValue_dec_31,0,0.0
tqwt_kurtosisValue_dec_32,0,0.0
tqwt_kurtosisValue_dec_33,0,0.0
tqwt_kurtosisValue_dec_34,0,0.0
tqwt_kurtosisValue_dec_35,0,0.0
tqwt_kurtosisValue_dec_21,0,0.0
tqwt_kurtosisValue_dec_20,0,0.0
tqwt_kurtosisValue_dec_19,0,0.0
tqwt_kurtosisValue_dec_18,0,0.0
tqwt_kurtosisValue_dec_17,0,0.0
tqwt_kurtosisValue_dec_16,0,0.0
tqwt_kurtosisValue_dec_15,0,0.0
tqwt_kurtosisValue_dec_14,0,0.0
tqwt_kurtosisValue_dec_13,0,0.0
tqwt_kurtosisValue_dec_12,0,0.0
tqwt_kurtosisValue_dec_11,0,0.0
tqwt_kurtosisValue_dec_10,0,0.0
tqwt_kurtosisValue_dec_9,0,0.0
tqwt_kurtosisValue_dec_8,0,0.0
tqwt_kurtosisValue_dec_7,0,0.0
tqwt_kurtosisValue_dec_6,0,0.0
tqwt_kurtosisValue_dec_5,0,0.0
tqwt_skewnessValue_dec_5,0,0.0
tqwt_skewnessValue_dec_3,0,0.0
tqwt_minValue_dec_7,0,0.0
tqwt_minValue_dec_31,0,0.0
tqwt_minValue_dec_25,0,0.0
tqwt_minValue_dec_26,0,0.0
tqwt_minValue_dec_27,0,0.0
tqwt_minValue_dec_28,0,0.0
tqwt_minValue_dec_29,0,0.0
tqwt_minValue_dec_30,0,0.0
tqwt_minValue_dec_32,0,0.0
tqwt_maxValue_dec_4,0,0.0
tqwt_minValue_dec_33,0,0.0
tqwt_minValue_dec_34,0,0.0
tqwt_minValue_dec_35,0,0.0
tqwt_minValue_dec_36,0,0.0
tqwt_maxValue_dec_1,0,0.0
tqwt_maxValue_dec_2,0,0.0
tqwt_minValue_dec_24,0,0.0
tqwt_minValue_dec_23,0,0.0
tqwt_minValue_dec_22,0,0.0
tqwt_minValue_dec_21,0,0.0
tqwt_minValue_dec_20,0,0.0
tqwt_minValue_dec_19,0,0.0
tqwt_minValue_dec_18,0,0.0
tqwt_minValue_dec_17,0,0.0
tqwt_minValue_dec_16,0,0.0
tqwt_minValue_dec_15,0,0.0
tqwt_minValue_dec_14,0,0.0
tqwt_minValue_dec_13,0,0.0
tqwt_minValue_dec_12,0,0.0
tqwt_minValue_dec_11,0,0.0
tqwt_minValue_dec_10,0,0.0
tqwt_minValue_dec_9,0,0.0
tqwt_minValue_dec_8,0,0.0
tqwt_maxValue_dec_3,0,0.0
tqwt_maxValue_dec_5,0,0.0
tqwt_skewnessValue_dec_2,0,0.0
tqwt_maxValue_dec_30,0,0.0
tqwt_maxValue_dec_24,0,0.0
tqwt_maxValue_dec_25,0,0.0
tqwt_maxValue_dec_26,0,0.0
tqwt_maxValue_dec_27,0,0.0
tqwt_maxValue_dec_28,0,0.0
tqwt_maxValue_dec_29,0,0.0
tqwt_maxValue_dec_31,0,0.0
tqwt_maxValue_dec_6,0,0.0
tqwt_maxValue_dec_32,0,0.0
tqwt_maxValue_dec_33,0,0.0
tqwt_maxValue_dec_34,0,0.0
tqwt_maxValue_dec_35,0,0.0
tqwt_maxValue_dec_36,0,0.0
tqwt_skewnessValue_dec_1,0,0.0
tqwt_maxValue_dec_23,0,0.0
tqwt_maxValue_dec_22,0,0.0
tqwt_maxValue_dec_21,0,0.0
tqwt_maxValue_dec_20,0,0.0
tqwt_maxValue_dec_19,0,0.0
tqwt_maxValue_dec_18,0,0.0
tqwt_maxValue_dec_17,0,0.0
tqwt_maxValue_dec_16,0,0.0
tqwt_maxValue_dec_15,0,0.0
tqwt_maxValue_dec_14,0,0.0
tqwt_maxValue_dec_13,0,0.0
tqwt_maxValue_dec_12,0,0.0
tqwt_maxValue_dec_11,0,0.0
tqwt_maxValue_dec_10,0,0.0
tqwt_maxValue_dec_9,0,0.0
tqwt_maxValue_dec_8,0,0.0
tqwt_maxValue_dec_7,0,0.0
tqwt_TKEO_std_dec_11,0,0.0
tqwt_entropy_shannon_dec_20,0,0.0
tqwt_TKEO_std_dec_9,0,0.0
app_LT_entropy_shannon_10_coef,0,0.0
app_LT_entropy_shannon_4_coef,0,0.0
app_LT_entropy_shannon_5_coef,0,0.0
app_LT_entropy_shannon_6_coef,0,0.0
app_LT_entropy_shannon_7_coef,0,0.0
app_LT_entropy_shannon_8_coef,0,0.0
app_LT_entropy_shannon_9_coef,0,0.0
app_LT_entropy_log_1_coef,0,0.0
app_LT_entropy_log_9_coef,0,0.0
app_LT_entropy_log_2_coef,0,0.0
app_LT_entropy_log_3_coef,0,0.0
app_LT_entropy_log_4_coef,0,0.0
app_LT_entropy_log_5_coef,0,0.0
app_LT_entropy_log_6_coef,0,0.0
app_LT_entropy_log_7_coef,0,0.0
app_LT_entropy_shannon_3_coef,0,0.0
app_LT_entropy_shannon_2_coef,0,0.0
app_LT_entropy_shannon_1_coef,0,0.0
det_LT_TKEO_std_10_coef,0,0.0
det_LT_TKEO_std_9_coef,0,0.0
det_LT_TKEO_std_8_coef,0,0.0
det_LT_TKEO_std_7_coef,0,0.0
det_LT_TKEO_std_5_coef,0,0.0
det_LT_TKEO_std_4_coef,0,0.0
det_LT_TKEO_std_3_coef,0,0.0
det_LT_TKEO_std_2_coef,0,0.0
det_LT_TKEO_std_1_coef,0,0.0
det_LT_TKEO_mean_10_coef,0,0.0
det_LT_TKEO_mean_9_coef,0,0.0
det_LT_TKEO_mean_8_coef,0,0.0
det_LT_TKEO_mean_7_coef,0,0.0
det_LT_TKEO_mean_6_coef,0,0.0
app_LT_entropy_log_8_coef,0,0.0
app_LT_entropy_log_10_coef,0,0.0
det_LT_TKEO_mean_4_coef,0,0.0
tqwt_energy_dec_5,0,0.0
app_LT_TKEO_std_9_coef,0,0.0
app_LT_TKEO_std_10_coef,0,0.0
tqwt_energy_dec_1,0,0.0
tqwt_energy_dec_2,0,0.0
tqwt_energy_dec_3,0,0.0
tqwt_energy_dec_4,0,0.0
tqwt_energy_dec_6,0,0.0
app_LT_TKEO_mean_1_coef,0,0.0
tqwt_energy_dec_7,0,0.0
tqwt_energy_dec_8,0,0.0
tqwt_energy_dec_9,0,0.0
tqwt_energy_dec_10,0,0.0
tqwt_energy_dec_11,0,0.0
tqwt_energy_dec_12,0,0.0
app_LT_TKEO_std_8_coef,0,0.0
app_LT_TKEO_std_7_coef,0,0.0
app_LT_TKEO_std_6_coef,0,0.0
app_LT_TKEO_std_5_coef,0,0.0
app_LT_TKEO_std_4_coef,0,0.0
app_LT_TKEO_std_3_coef,0,0.0
app_LT_TKEO_std_2_coef,0,0.0
app_LT_TKEO_std_1_coef,0,0.0
app_LT_TKEO_mean_10_coef,0,0.0
app_LT_TKEO_mean_9_coef,0,0.0
app_LT_TKEO_mean_8_coef,0,0.0
app_LT_TKEO_mean_7_coef,0,0.0
app_LT_TKEO_mean_6_coef,0,0.0
app_LT_TKEO_mean_5_coef,0,0.0
app_LT_TKEO_mean_4_coef,0,0.0
app_LT_TKEO_mean_3_coef,0,0.0
app_LT_TKEO_mean_2_coef,0,0.0
det_LT_TKEO_mean_5_coef,0,0.0
det_LT_TKEO_mean_3_coef,0,0.0
tqwt_TKEO_std_dec_8,0,0.0
app_det_TKEO_mean_10_coef,0,0.0
app_det_TKEO_mean_4_coef,0,0.0
app_det_TKEO_mean_5_coef,0,0.0
app_det_TKEO_mean_6_coef,0,0.0
app_det_TKEO_mean_7_coef,0,0.0
app_det_TKEO_mean_8_coef,0,0.0
app_det_TKEO_mean_9_coef,0,0.0
app_TKEO_std_1_coef,0,0.0
app_TKEO_std_9_coef,0,0.0
app_TKEO_std_2_coef,0,0.0
app_TKEO_std_3_coef,0,0.0
app_TKEO_std_4_coef,0,0.0
app_TKEO_std_5_coef,0,0.0
app_TKEO_std_6_coef,0,0.0
app_TKEO_std_7_coef,0,0.0
app_det_TKEO_mean_3_coef,0,0.0
app_det_TKEO_mean_2_coef,0,0.0
app_det_TKEO_mean_1_coef,0,0.0
app_entropy_log_10_coef,0,0.0
app_entropy_log_9_coef,0,0.0
app_entropy_log_8_coef,0,0.0
app_entropy_log_7_coef,0,0.0
app_entropy_log_6_coef,0,0.0
app_entropy_log_5_coef,0,0.0
app_entropy_log_4_coef,0,0.0
app_entropy_log_3_coef,0,0.0
app_entropy_log_2_coef,0,0.0
app_entropy_log_1_coef,0,0.0
app_entropy_shannon_10_coef,0,0.0
app_entropy_shannon_9_coef,0,0.0
app_entropy_shannon_8_coef,0,0.0
DFA,0,0.0
app_TKEO_std_8_coef,0,0.0
app_TKEO_std_10_coef,0,0.0
det_LT_TKEO_mean_2_coef,0,0.0
det_LT_entropy_log_4_coef,0,0.0
det_LT_entropy_shannon_8_coef,0,0.0
det_LT_entropy_shannon_9_coef,0,0.0
det_LT_entropy_shannon_10_coef,0,0.0
det_LT_entropy_log_1_coef,0,0.0
det_LT_entropy_log_2_coef,0,0.0
det_LT_entropy_log_3_coef,0,0.0
det_LT_entropy_log_5_coef,0,0.0
Ea2,0,0.0
det_LT_entropy_log_6_coef,0,0.0
det_LT_entropy_log_7_coef,0,0.0
det_LT_entropy_log_8_coef,0,0.0
det_LT_entropy_log_9_coef,0,0.0
det_LT_entropy_log_10_coef,0,0.0
det_LT_TKEO_mean_1_coef,0,0.0
det_LT_entropy_shannon_7_coef,0,0.0
det_LT_entropy_shannon_6_coef,0,0.0
det_LT_entropy_shannon_5_coef,0,0.0
det_LT_entropy_shannon_4_coef,0,0.0
det_LT_entropy_shannon_3_coef,0,0.0
det_LT_entropy_shannon_2_coef,0,0.0
det_LT_entropy_shannon_1_coef,0,0.0
Ed2_10_coef,0,0.0
Ed2_9_coef,0,0.0
Ed2_8_coef,0,0.0
Ed2_7_coef,0,0.0
Ed2_6_coef,0,0.0
Ed2_5_coef,0,0.0
Ed2_4_coef,0,0.0
Ed2_3_coef,0,0.0
Ed2_2_coef,0,0.0
Ed2_1_coef,0,0.0
tqwt_energy_dec_13,0,0.0
tqwt_energy_dec_14,0,0.0
tqwt_energy_dec_15,0,0.0
tqwt_TKEO_mean_dec_1,0,0.0
tqwt_entropy_log_dec_31,0,0.0
tqwt_entropy_log_dec_32,0,0.0
tqwt_entropy_log_dec_33,0,0.0
tqwt_entropy_log_dec_34,0,0.0
tqwt_entropy_log_dec_35,0,0.0
tqwt_entropy_log_dec_36,0,0.0
tqwt_TKEO_mean_dec_2,0,0.0
tqwt_TKEO_mean_dec_10,0,0.0
tqwt_TKEO_mean_dec_3,0,0.0
tqwt_TKEO_mean_dec_4,0,0.0
tqwt_TKEO_mean_dec_5,0,0.0
tqwt_TKEO_mean_dec_6,0,0.0
tqwt_TKEO_mean_dec_7,0,0.0
tqwt_TKEO_mean_dec_8,0,0.0
tqwt_entropy_log_dec_30,0,0.0
tqwt_entropy_log_dec_29,0,0.0
tqwt_entropy_log_dec_28,0,0.0
tqwt_entropy_log_dec_27,0,0.0
tqwt_entropy_log_dec_26,0,0.0
tqwt_entropy_log_dec_25,0,0.0
tqwt_entropy_log_dec_24,0,0.0
tqwt_entropy_log_dec_23,0,0.0
tqwt_entropy_log_dec_22,0,0.0
tqwt_entropy_log_dec_21,0,0.0
tqwt_entropy_log_dec_20,0,0.0
tqwt_entropy_log_dec_19,0,0.0
tqwt_entropy_log_dec_18,0,0.0
tqwt_entropy_log_dec_17,0,0.0
tqwt_entropy_log_dec_16,0,0.0
tqwt_entropy_log_dec_15,0,0.0
tqwt_entropy_log_dec_14,0,0.0
tqwt_TKEO_mean_dec_9,0,0.0
tqwt_TKEO_mean_dec_11,0,0.0
tqwt_energy_dec_16,0,0.0
tqwt_TKEO_mean_dec_36,0,0.0
tqwt_TKEO_mean_dec_30,0,0.0
tqwt_TKEO_mean_dec_31,0,0.0
tqwt_TKEO_mean_dec_32,0,0.0
tqwt_TKEO_mean_dec_33,0,0.0
tqwt_TKEO_mean_dec_34,0,0.0
tqwt_TKEO_mean_dec_35,0,0.0
tqwt_TKEO_std_dec_1,0,0.0
tqwt_TKEO_mean_dec_12,0,0.0
tqwt_TKEO_std_dec_2,0,0.0
tqwt_TKEO_std_dec_3,0,0.0
tqwt_TKEO_std_dec_4,0,0.0
tqwt_TKEO_std_dec_5,0,0.0
tqwt_TKEO_std_dec_6,0,0.0
tqwt_TKEO_std_dec_7,0,0.0
tqwt_TKEO_mean_dec_29,0,0.0
tqwt_TKEO_mean_dec_28,0,0.0
tqwt_TKEO_mean_dec_27,0,0.0
tqwt_TKEO_mean_dec_26,0,0.0
tqwt_TKEO_mean_dec_25,0,0.0
tqwt_TKEO_mean_dec_24,0,0.0
tqwt_TKEO_mean_dec_23,0,0.0
tqwt_TKEO_mean_dec_22,0,0.0
tqwt_TKEO_mean_dec_21,0,0.0
tqwt_TKEO_mean_dec_20,0,0.0
tqwt_TKEO_mean_dec_19,0,0.0
tqwt_TKEO_mean_dec_18,0,0.0
tqwt_TKEO_mean_dec_17,0,0.0
tqwt_TKEO_mean_dec_16,0,0.0
tqwt_TKEO_mean_dec_15,0,0.0
