feature,median_value_used_for_imputation
mean_0th_delta,-0.0033005
mean_1st_delta,-0.000349055
mean_2nd_delta,0.000655145
mean_3rd_delta,0.00041479
mean_4th_delta,0.000151645
mean_5th_delta,7.09e-05
mean_6th_delta,0.00072872
mean_7th_delta,-0.000114985
mean_8th_delta,-0.00026999
mean_9th_delta,0.00028115
mean_10th_delta,1.7749999999999998e-05
mean_11th_delta,-0.000110865
mean_12th_delta,0.00021537500000000002
mean_delta_delta_log_energy,6.4199999999999995e-06
mean_delta_delta_0th,-6.309999999999999e-05
mean_1st_delta_delta,2.815e-05
mean_2nd_delta_delta,2.06e-05
mean_3rd_delta_delta,-1.525e-05
mean_4th_delta_delta,2.525e-05
mean_5th_delta_delta,2.26e-05
mean_6th_delta_delta,2.44e-05
mean_7th_delta_delta,-1.8599999999999998e-05
mean_8th_delta_delta,-7.1e-07
mean_9th_delta_delta,8.395e-06
mean_10th_delta_delta,1.7100000000000002e-05
mean_11th_delta_delta,-9.215e-07
mean_12th_delta_delta,-4.4699999999999996e-06
std_Log_energy,0.223085
std_MFCC_0th_coef,0.76231
std_MFCC_1st_coef,0.49956
std_MFCC_2nd_coef,0.4275
std_MFCC_3rd_coef,0.36790500000000004
std_MFCC_4th_coef,0.342075
std_MFCC_5th_coef,0.31710499999999997
std_MFCC_6th_coef,0.319425
std_MFCC_7th_coef,0.29347
std_MFCC_8th_coef,0.27276500000000004
std_MFCC_9th_coef,0.26241000000000003
std_MFCC_10th_coef,0.2585
std_MFCC_11th_coef,0.243095
std_MFCC_12th_coef,0.23731
std_delta_log_energy,0.030845499999999998
std_0th_delta,0.09468850000000001
std_1st_delta,0.06442600000000001
std_2nd_delta,0.0542995
std_3rd_delta,0.047647499999999995
std_4th_delta,0.0447905
std_5th_delta,0.040795
std_6th_delta,0.0413315
std_7th_delta,0.038933999999999996
std_8th_delta,0.0365755
std_9th_delta,0.0342815
std_10th_delta,0.034571500000000005
std_11th_delta,0.032724500000000004
std_12th_delta,0.031146
std_delta_delta_log_energy,0.01159
std_delta_delta_0th,0.042038000000000006
std_1st_delta_delta,0.0309235
std_2nd_delta_delta,0.024642
std_3rd_delta_delta,0.022468
std_4th_delta_delta,0.021220000000000003
std_5th_delta_delta,0.0194835
std_6th_delta_delta,0.019261
std_7th_delta_delta,0.018355000000000003
std_8th_delta_delta,0.0173445
std_9th_delta_delta,0.016526
std_10th_delta_delta,0.016606000000000003
std_11th_delta_delta,0.015728
std_12th_delta_delta,0.014964
Ea,99.9986
Ed_1_coef,4.0399999999999996e-07
Ed_2_coef,2.84e-06
Ed_3_coef,1.25e-05
Ed_4_coef,5.2100000000000006e-05
Ed_5_coef,5.325e-05
Ed_6_coef,6.535e-05
Ed_7_coef,4.395e-05
Ed_8_coef,0.00020389
Ed_9_coef,6.985e-05
Ed_10_coef,0.0006758549999999999
det_entropy_shannon_1_coef,3.07585
det_entropy_shannon_2_coef,4.8302499999999995
det_entropy_shannon_3_coef,-82.7902
det_entropy_shannon_4_coef,-752.2156500000001
det_entropy_shannon_5_coef,-855.75545
det_entropy_shannon_6_coef,-1097.549
det_entropy_shannon_7_coef,-668.5566
det_entropy_shannon_8_coef,-4676.68465
det_entropy_shannon_9_coef,-1275.2635500000001
det_entropy_shannon_10_coef,-20196.1655
det_entropy_log_1_coef,-622.94665
det_entropy_log_2_coef,-175.90545
det_entropy_log_3_coef,-32.169650000000004
det_entropy_log_4_coef,24.29605
det_entropy_log_5_coef,12.3871
det_entropy_log_6_coef,2.32185
det_entropy_log_7_coef,-4.3337
det_entropy_log_8_coef,11.3702
det_entropy_log_9_coef,7.63185
det_entropy_log_10_coef,30.455350000000003
det_TKEO_mean_1_coef,0.014832000000000001
det_TKEO_mean_2_coef,0.185995
det_TKEO_mean_3_coef,1.5169000000000001
det_TKEO_mean_4_coef,9.6273
det_TKEO_mean_5_coef,12.00075
det_TKEO_mean_6_coef,14.49895
det_TKEO_mean_7_coef,12.87265
det_TKEO_mean_8_coef,61.47665
det_TKEO_mean_9_coef,21.80285
det_TKEO_mean_10_coef,255.32274999999998
det_TKEO_std_1_coef,0.040094500000000005
det_TKEO_std_2_coef,0.38199000000000005
det_TKEO_std_3_coef,2.37595
det_TKEO_std_4_coef,13.09075
det_TKEO_std_5_coef,21.25515
det_TKEO_std_6_coef,30.99885
det_TKEO_std_7_coef,24.36255
det_TKEO_std_8_coef,131.87615
det_TKEO_std_9_coef,41.565799999999996
det_TKEO_std_10_coef,488.581
app_entropy_shannon_1_coef,-69522121.11
app_entropy_shannon_2_coef,-83321766.075
app_entropy_shannon_3_coef,-110105130.19999999
app_entropy_shannon_4_coef,-159430919.5
app_entropy_shannon_5_coef,-260326586.0
app_entropy_shannon_6_coef,-465728696.54999995
app_entropy_shannon_7_coef,-919396874.8
app_entropy_shannon_8_coef,-1804417556.5
app_entropy_shannon_9_coef,-3766721606.5
app_entropy_shannon_10_coef,-7849142473.5
app_entropy_log_1_coef,1183.47015
app_entropy_log_2_coef,710.7
app_entropy_log_3_coef,469.40250000000003
app_entropy_log_4_coef,339.36545
app_entropy_log_5_coef,274.97339999999997
app_entropy_log_6_coef,245.65294999999998
app_entropy_log_7_coef,242.26074999999997
app_entropy_log_8_coef,237.62315
app_entropy_log_9_coef,248.02035
app_entropy_log_10_coef,258.41755
app_det_TKEO_mean_1_coef,1159.72325
app_det_TKEO_mean_2_coef,4052.20225
app_det_TKEO_mean_3_coef,12854.3733
app_det_TKEO_mean_4_coef,36719.19215
app_det_TKEO_mean_5_coef,94910.9999
app_det_TKEO_mean_6_coef,222677.52529999998
app_det_TKEO_mean_7_coef,473416.47380000004
app_det_TKEO_mean_8_coef,1009153.3825000001
app_det_TKEO_mean_9_coef,2018938.7445
app_det_TKEO_mean_10_coef,4036601.5695
app_TKEO_std_1_coef,8477.148799999999
app_TKEO_std_2_coef,22170.6183
app_TKEO_std_3_coef,55964.47845
app_TKEO_std_4_coef,131543.6253
app_TKEO_std_5_coef,293896.09274999995
app_TKEO_std_6_coef,629165.77555
app_TKEO_std_7_coef,1295206.209
app_TKEO_std_8_coef,2651688.7309999997
app_TKEO_std_9_coef,5340279.002
app_TKEO_std_10_coef,10662958.870000001
Ea2,99.9999
Ed2_1_coef,1.475e-08
Ed2_2_coef,1.08e-07
Ed2_3_coef,4.765e-07
Ed2_4_coef,1.97e-06
Ed2_5_coef,2.035e-06
Ed2_6_coef,2.57e-06
Ed2_7_coef,1.65e-06
Ed2_8_coef,7.4750000000000004e-06
Ed2_9_coef,2.55e-06
Ed2_10_coef,2.64e-05
det_LT_entropy_shannon_1_coef,0.0007926
det_LT_entropy_shannon_2_coef,0.0047357
det_LT_entropy_shannon_3_coef,0.017207
det_LT_entropy_shannon_4_coef,0.05468
det_LT_entropy_shannon_5_coef,0.0524135
det_LT_entropy_shannon_6_coef,0.0538265
det_LT_entropy_shannon_7_coef,0.038126
det_LT_entropy_shannon_8_coef,0.115845
det_LT_entropy_shannon_9_coef,0.054055000000000006
det_LT_entropy_shannon_10_coef,0.275115
det_LT_entropy_log_1_coef,-1750.4837499999999
det_LT_entropy_log_2_coef,-810.9358500000001
det_LT_entropy_log_3_coef,-425.79785000000004
det_LT_entropy_log_4_coef,-244.03305
det_LT_entropy_log_5_coef,-193.20295
det_LT_entropy_log_6_coef,-171.64679999999998
det_LT_entropy_log_7_coef,-169.68040000000002
det_LT_entropy_log_8_coef,-143.8518
det_LT_entropy_log_9_coef,-144.60605
det_LT_entropy_log_10_coef,-123.8201
det_LT_TKEO_mean_1_coef,4.37e-07
det_LT_TKEO_mean_2_coef,5.715e-06
det_LT_TKEO_mean_3_coef,4.705e-05
det_LT_TKEO_mean_4_coef,0.00031196
det_LT_TKEO_mean_5_coef,0.00038881500000000004
det_LT_TKEO_mean_6_coef,0.00049913
det_LT_TKEO_mean_7_coef,0.000443285
det_LT_TKEO_mean_8_coef,0.0021985
det_LT_TKEO_mean_9_coef,0.00074513
det_LT_TKEO_mean_10_coef,0.0088761
det_LT_TKEO_std_1_coef,1.235e-06
det_LT_TKEO_std_2_coef,1.185e-05
det_LT_TKEO_std_3_coef,7.64e-05
det_LT_TKEO_std_4_coef,0.00043801
det_LT_TKEO_std_5_coef,0.00075326
det_LT_TKEO_std_6_coef,0.000906115
det_LT_TKEO_std_7_coef,0.00086476
det_LT_TKEO_std_8_coef,0.00448205
det_LT_TKEO_std_9_coef,0.001467
det_LT_TKEO_std_10_coef,0.017004
app_LT_entropy_shannon_1_coef,-22572.47565
app_LT_entropy_shannon_2_coef,-29955.69855
app_LT_entropy_shannon_3_coef,-42931.840500000006
app_LT_entropy_shannon_4_coef,-66459.56049999999
app_LT_entropy_shannon_5_coef,-114081.5066
app_LT_entropy_shannon_6_coef,-214247.5377
app_LT_entropy_shannon_7_coef,-440883.2764
app_LT_entropy_shannon_8_coef,-897787.44155
app_LT_entropy_shannon_9_coef,-1936647.9534999998
app_LT_entropy_shannon_10_coef,-4155440.0545
app_LT_entropy_log_1_coef,428.11064999999996
app_LT_entropy_log_2_coef,284.0923
app_LT_entropy_log_3_coef,203.37495
app_LT_entropy_log_4_coef,157.1797
app_LT_entropy_log_5_coef,134.8048
app_LT_entropy_log_6_coef,126.39095
app_LT_entropy_log_7_coef,130.04645
app_LT_entropy_log_8_coef,132.3352
app_LT_entropy_log_9_coef,142.73239999999998
app_LT_entropy_log_10_coef,153.12965
app_LT_TKEO_mean_1_coef,0.98393
app_LT_TKEO_mean_2_coef,3.47865
app_LT_TKEO_mean_3_coef,11.1538
app_LT_TKEO_mean_4_coef,32.58385
app_LT_TKEO_mean_5_coef,84.66965
app_LT_TKEO_mean_6_coef,199.18535
app_LT_TKEO_mean_7_coef,423.18425
app_LT_TKEO_mean_8_coef,902.14
app_LT_TKEO_mean_9_coef,1804.4801499999999
app_LT_TKEO_mean_10_coef,3608.6447
app_LT_TKEO_std_1_coef,7.213
app_LT_TKEO_std_2_coef,19.07985
app_LT_TKEO_std_3_coef,48.0038
app_LT_TKEO_std_4_coef,115.23545
app_LT_TKEO_std_5_coef,261.00425
app_LT_TKEO_std_6_coef,562.3480999999999
app_LT_TKEO_std_7_coef,1156.02735
app_LT_TKEO_std_8_coef,2378.6881999999996
app_LT_TKEO_std_9_coef,4765.0839
app_LT_TKEO_std_10_coef,9524.3362
tqwt_energy_dec_1,6.145e-05
tqwt_energy_dec_2,5.565e-05
tqwt_energy_dec_3,8.32e-05
tqwt_energy_dec_4,0.0001247
tqwt_energy_dec_5,0.000153235
tqwt_energy_dec_6,0.00020688
tqwt_energy_dec_7,0.000301745
tqwt_energy_dec_8,0.00056674
tqwt_energy_dec_9,0.0008528699999999999
tqwt_energy_dec_10,0.0008772000000000001
tqwt_energy_dec_11,0.000623105
tqwt_energy_dec_12,0.0015669
tqwt_energy_dec_13,0.00873825
tqwt_energy_dec_14,0.0236755
tqwt_energy_dec_15,0.0383835
tqwt_energy_dec_16,0.0598945
tqwt_energy_dec_17,0.109725
tqwt_energy_dec_18,0.10650499999999999
tqwt_energy_dec_19,0.060131000000000004
tqwt_energy_dec_20,0.0359675
tqwt_energy_dec_21,0.0253295
tqwt_energy_dec_22,0.0221475
tqwt_energy_dec_23,0.023947
tqwt_energy_dec_24,0.0364795
tqwt_energy_dec_25,0.044910500000000006
tqwt_energy_dec_26,0.0250825
tqwt_energy_dec_27,0.0016307000000000001
tqwt_energy_dec_28,0.00018393499999999998
tqwt_energy_dec_29,9.615e-05
tqwt_energy_dec_30,6.585e-05
tqwt_energy_dec_31,7.12e-05
tqwt_energy_dec_32,6.22e-05
tqwt_energy_dec_33,3.3100000000000005e-05
tqwt_energy_dec_34,1.365e-05
tqwt_energy_dec_35,9.55e-06
tqwt_energy_dec_36,8.620000000000001e-05
tqwt_entropy_shannon_dec_1,1.69975
tqwt_entropy_shannon_dec_2,1.7148500000000002
tqwt_entropy_shannon_dec_3,2.499
tqwt_entropy_shannon_dec_4,3.38485
tqwt_entropy_shannon_dec_5,4.19115
tqwt_entropy_shannon_dec_6,4.83845
tqwt_entropy_shannon_dec_7,8.53515
tqwt_entropy_shannon_dec_8,13.193249999999999
tqwt_entropy_shannon_dec_9,18.897199999999998
tqwt_entropy_shannon_dec_10,16.9681
tqwt_entropy_shannon_dec_11,12.901499999999999
tqwt_entropy_shannon_dec_12,23.792900000000003
tqwt_entropy_shannon_dec_13,111.5149
tqwt_entropy_shannon_dec_14,256.47715
tqwt_entropy_shannon_dec_15,357.46434999999997
tqwt_entropy_shannon_dec_16,447.55674999999997
tqwt_entropy_shannon_dec_17,633.32105
tqwt_entropy_shannon_dec_18,597.7988
tqwt_entropy_shannon_dec_19,378.1205
tqwt_entropy_shannon_dec_20,267.1006
tqwt_entropy_shannon_dec_21,186.74985
tqwt_entropy_shannon_dec_22,173.25185
tqwt_entropy_shannon_dec_23,177.35014999999999
tqwt_entropy_shannon_dec_24,166.1759
tqwt_entropy_shannon_dec_25,135.2715
tqwt_entropy_shannon_dec_26,59.2034
tqwt_entropy_shannon_dec_27,7.8284
tqwt_entropy_shannon_dec_28,1.7608
tqwt_entropy_shannon_dec_29,0.9945900000000001
tqwt_entropy_shannon_dec_30,0.7168300000000001
tqwt_entropy_shannon_dec_31,0.7530300000000001
tqwt_entropy_shannon_dec_32,0.6323650000000001
tqwt_entropy_shannon_dec_33,0.337895
tqwt_entropy_shannon_dec_34,0.15876
tqwt_entropy_shannon_dec_35,0.11577
tqwt_entropy_shannon_dec_36,0.72307
tqwt_entropy_log_dec_1,-1862476.5395
tqwt_entropy_log_dec_2,-1523398.0195
tqwt_entropy_log_dec_3,-1224109.4564999999
tqwt_entropy_log_dec_4,-977359.21695
tqwt_entropy_log_dec_5,-791223.1631
tqwt_entropy_log_dec_6,-632439.6293500001
tqwt_entropy_log_dec_7,-489703.13385
tqwt_entropy_log_dec_8,-381777.01795
tqwt_entropy_log_dec_9,-301213.14075
tqwt_entropy_log_dec_10,-247655.626
tqwt_entropy_log_dec_11,-209689.76744999998
tqwt_entropy_log_dec_12,-157650.10565
tqwt_entropy_log_dec_13,-102423.13365
tqwt_entropy_log_dec_14,-71728.67885
tqwt_entropy_log_dec_15,-53813.719450000004
tqwt_entropy_log_dec_16,-39916.99885
tqwt_entropy_log_dec_17,-27803.502800000002
tqwt_entropy_log_dec_18,-21702.948
tqwt_entropy_log_dec_19,-20348.0614
tqwt_entropy_log_dec_20,-17756.396399999998
tqwt_entropy_log_dec_21,-15447.7205
tqwt_entropy_log_dec_22,-12430.4266
tqwt_entropy_log_dec_23,-9476.78255
tqwt_entropy_log_dec_24,-7335.206700000001
tqwt_entropy_log_dec_25,-5675.66605
tqwt_entropy_log_dec_26,-5296.010249999999
tqwt_entropy_log_dec_27,-7228.634550000001
tqwt_entropy_log_dec_28,-8256.017899999999
tqwt_entropy_log_dec_29,-7307.2737
tqwt_entropy_log_dec_30,-6202.037700000001
tqwt_entropy_log_dec_31,-4960.6759
tqwt_entropy_log_dec_32,-4100.2293
tqwt_entropy_log_dec_33,-3616.1652000000004
tqwt_entropy_log_dec_34,-3405.5063499999997
tqwt_entropy_log_dec_35,-2919.29455
tqwt_entropy_log_dec_36,-2511.8498
tqwt_TKEO_mean_dec_1,1.6949999999999999e-06
tqwt_TKEO_mean_dec_2,2.26e-06
tqwt_TKEO_mean_dec_3,3.965e-06
tqwt_TKEO_mean_dec_4,7.2149999999999995e-06
tqwt_TKEO_mean_dec_5,1.145e-05
tqwt_TKEO_mean_dec_6,1.4000000000000001e-05
tqwt_TKEO_mean_dec_7,2.68e-05
tqwt_TKEO_mean_dec_8,6.855e-05
tqwt_TKEO_mean_dec_9,0.00013120500000000002
tqwt_TKEO_mean_dec_10,0.00014788
tqwt_TKEO_mean_dec_11,0.00010864
tqwt_TKEO_mean_dec_12,0.00018616500000000002
tqwt_TKEO_mean_dec_13,0.0015279999999999998
tqwt_TKEO_mean_dec_14,0.0082829
tqwt_TKEO_mean_dec_15,0.015634000000000002
tqwt_TKEO_mean_dec_16,0.023088499999999998
tqwt_TKEO_mean_dec_17,0.064686
tqwt_TKEO_mean_dec_18,0.0834415
tqwt_TKEO_mean_dec_19,0.048772499999999996
tqwt_TKEO_mean_dec_20,0.036513500000000004
tqwt_TKEO_mean_dec_21,0.0286625
tqwt_TKEO_mean_dec_22,0.027285
tqwt_TKEO_mean_dec_23,0.034967
tqwt_TKEO_mean_dec_24,0.0521695
tqwt_TKEO_mean_dec_25,0.07116549999999999
tqwt_TKEO_mean_dec_26,0.0391945
tqwt_TKEO_mean_dec_27,0.0022383
tqwt_TKEO_mean_dec_28,0.000617055
tqwt_TKEO_mean_dec_29,0.00033795
tqwt_TKEO_mean_dec_30,0.00026077
tqwt_TKEO_mean_dec_31,0.00034992
tqwt_TKEO_mean_dec_32,0.0003705
tqwt_TKEO_mean_dec_33,0.000216975
tqwt_TKEO_mean_dec_34,0.00011630000000000001
tqwt_TKEO_mean_dec_35,0.00010292
tqwt_TKEO_mean_dec_36,0.00036729
tqwt_TKEO_std_dec_1,1.12e-05
tqwt_TKEO_std_dec_2,8.854999999999999e-06
tqwt_TKEO_std_dec_3,1.4550000000000001e-05
tqwt_TKEO_std_dec_4,2.26e-05
tqwt_TKEO_std_dec_5,3.035e-05
tqwt_TKEO_std_dec_6,3.5850000000000004e-05
tqwt_TKEO_std_dec_7,5.715e-05
tqwt_TKEO_std_dec_8,0.000129355
tqwt_TKEO_std_dec_9,0.0002158
tqwt_TKEO_std_dec_10,0.000261955
tqwt_TKEO_std_dec_11,0.00022883000000000002
tqwt_TKEO_std_dec_12,0.00039945
tqwt_TKEO_std_dec_13,0.00173435
tqwt_TKEO_std_dec_14,0.008467849999999999
tqwt_TKEO_std_dec_15,0.0175735
tqwt_TKEO_std_dec_16,0.027091999999999998
tqwt_TKEO_std_dec_17,0.0560995
tqwt_TKEO_std_dec_18,0.0663395
tqwt_TKEO_std_dec_19,0.043847
tqwt_TKEO_std_dec_20,0.028180999999999998
tqwt_TKEO_std_dec_21,0.020604499999999998
tqwt_TKEO_std_dec_22,0.0187645
tqwt_TKEO_std_dec_23,0.02187
tqwt_TKEO_std_dec_24,0.0247275
tqwt_TKEO_std_dec_25,0.034306
tqwt_TKEO_std_dec_26,0.0192735
tqwt_TKEO_std_dec_27,0.00553585
tqwt_TKEO_std_dec_28,0.0018617
tqwt_TKEO_std_dec_29,0.0009758150000000001
tqwt_TKEO_std_dec_30,0.00077016
tqwt_TKEO_std_dec_31,0.000690995
tqwt_TKEO_std_dec_32,0.00071995
tqwt_TKEO_std_dec_33,0.00046434
tqwt_TKEO_std_dec_34,0.000354135
tqwt_TKEO_std_dec_35,0.00031217
tqwt_TKEO_std_dec_36,0.00125765
tqwt_medianValue_dec_1,-2.2349999999999998e-08
tqwt_medianValue_dec_2,-8.530000000000001e-09
tqwt_medianValue_dec_3,0.0
tqwt_medianValue_dec_4,7.25e-09
tqwt_medianValue_dec_5,0.0
tqwt_medianValue_dec_6,6.5600000000000005e-09
tqwt_medianValue_dec_7,3.0500000000000004e-07
tqwt_medianValue_dec_8,3.11e-20
tqwt_medianValue_dec_9,2.07e-07
tqwt_medianValue_dec_10,-1.2650000000000002e-06
tqwt_medianValue_dec_11,1.245e-06
tqwt_medianValue_dec_12,-6.120000000000001e-20
tqwt_medianValue_dec_13,-6.885e-20
tqwt_medianValue_dec_14,-1.22500001405e-09
tqwt_medianValue_dec_15,8.125e-06
tqwt_medianValue_dec_16,0.0
tqwt_medianValue_dec_17,0.0
tqwt_medianValue_dec_18,-1.91e-18
tqwt_medianValue_dec_19,-6.785e-05
tqwt_medianValue_dec_20,0.0
tqwt_medianValue_dec_21,0.0
tqwt_medianValue_dec_22,-2.265e-18
tqwt_medianValue_dec_23,5.339999999999999e-18
tqwt_medianValue_dec_24,0.0
tqwt_medianValue_dec_25,0.0
tqwt_medianValue_dec_26,0.0
tqwt_medianValue_dec_27,2.155e-05
tqwt_medianValue_dec_28,1.525e-06
tqwt_medianValue_dec_29,-9.535e-06
tqwt_medianValue_dec_30,1.6000000000000002e-19
tqwt_medianValue_dec_31,4.82e-06
tqwt_medianValue_dec_32,4.82e-06
tqwt_medianValue_dec_33,-6.089999999999999e-06
tqwt_medianValue_dec_34,-5.58e-06
tqwt_medianValue_dec_35,-1.1290000000000001e-06
tqwt_medianValue_dec_36,-0.00208745
tqwt_meanValue_dec_1,-8.849999999999999e-23
tqwt_meanValue_dec_2,-2.6599999999999997e-23
tqwt_meanValue_dec_3,7.035e-23
tqwt_meanValue_dec_4,-5.26e-23
tqwt_meanValue_dec_5,0.0
tqwt_meanValue_dec_6,6.425e-23
tqwt_meanValue_dec_7,-2.945e-22
tqwt_meanValue_dec_8,2.94e-22
tqwt_meanValue_dec_9,8.224999999999999e-23
tqwt_meanValue_dec_10,3.375e-22
tqwt_meanValue_dec_11,3.65e-22
tqwt_meanValue_dec_12,0.0
tqwt_meanValue_dec_13,-1.6450000000000002e-22
tqwt_meanValue_dec_14,2.6450000000000004e-21
tqwt_meanValue_dec_15,2.985e-21
tqwt_meanValue_dec_16,0.0
tqwt_meanValue_dec_17,6.005e-21
tqwt_meanValue_dec_18,-3.535e-20
tqwt_meanValue_dec_19,-9.42e-21
tqwt_meanValue_dec_20,-1.295e-21
tqwt_meanValue_dec_21,-1.36e-20
tqwt_meanValue_dec_22,1.3550000000000001e-20
tqwt_meanValue_dec_23,-1.7899999999999998e-20
tqwt_meanValue_dec_24,-7.810000000000001e-21
tqwt_meanValue_dec_25,2.93e-22
tqwt_meanValue_dec_26,-2.1100000000000002e-20
tqwt_meanValue_dec_27,6.750000000000001e-21
tqwt_meanValue_dec_28,1.62e-20
tqwt_meanValue_dec_29,2.4300000000000003e-21
tqwt_meanValue_dec_30,0.0
tqwt_meanValue_dec_31,0.0
tqwt_meanValue_dec_32,-8.42e-21
tqwt_meanValue_dec_33,-1.01e-20
tqwt_meanValue_dec_34,0.0
tqwt_meanValue_dec_35,0.0
tqwt_meanValue_dec_36,-0.0019233
tqwt_stdValue_dec_1,0.00110045
tqwt_stdValue_dec_2,0.0012220500000000001
tqwt_stdValue_dec_3,0.0016652
tqwt_stdValue_dec_4,0.0021525
tqwt_stdValue_dec_5,0.0026616
tqwt_stdValue_dec_6,0.0031968
tqwt_stdValue_dec_7,0.00474135
tqwt_stdValue_dec_8,0.006772
tqwt_stdValue_dec_9,0.00911085
tqwt_stdValue_dec_10,0.00958945
tqwt_stdValue_dec_11,0.009078800000000001
tqwt_stdValue_dec_12,0.0140415
tqwt_stdValue_dec_13,0.0382655
tqwt_stdValue_dec_14,0.07245850000000001
tqwt_stdValue_dec_15,0.100527
tqwt_stdValue_dec_16,0.133545
tqwt_stdValue_dec_17,0.20244
tqwt_stdValue_dec_18,0.2223
tqwt_stdValue_dec_19,0.17629
tqwt_stdValue_dec_20,0.153065
tqwt_stdValue_dec_21,0.13343
tqwt_stdValue_dec_22,0.14271499999999998
tqwt_stdValue_dec_23,0.166715
tqwt_stdValue_dec_24,0.192155
tqwt_stdValue_dec_25,0.22519
tqwt_stdValue_dec_26,0.17167
tqwt_stdValue_dec_27,0.0525035
tqwt_stdValue_dec_28,0.019996
tqwt_stdValue_dec_29,0.014652499999999999
tqwt_stdValue_dec_30,0.01315
tqwt_stdValue_dec_31,0.014557
tqwt_stdValue_dec_32,0.014725
tqwt_stdValue_dec_33,0.01159
tqwt_stdValue_dec_34,0.0086705
tqwt_stdValue_dec_35,0.0081493
tqwt_stdValue_dec_36,0.0169765
tqwt_minValue_dec_1,-0.029547999999999998
tqwt_minValue_dec_2,-0.018963
tqwt_minValue_dec_3,-0.0227745
tqwt_minValue_dec_4,-0.027201000000000003
tqwt_minValue_dec_5,-0.031233499999999997
tqwt_minValue_dec_6,-0.033085
tqwt_minValue_dec_7,-0.0375505
tqwt_minValue_dec_8,-0.051562
tqwt_minValue_dec_9,-0.0604165
tqwt_minValue_dec_10,-0.0604305
tqwt_minValue_dec_11,-0.0621965
tqwt_minValue_dec_12,-0.08617749999999999
tqwt_minValue_dec_13,-0.15489
tqwt_minValue_dec_14,-0.26871
tqwt_minValue_dec_15,-0.35414500000000004
tqwt_minValue_dec_16,-0.427365
tqwt_minValue_dec_17,-0.584185
tqwt_minValue_dec_18,-0.61805
tqwt_minValue_dec_19,-0.488015
tqwt_minValue_dec_20,-0.40271999999999997
tqwt_minValue_dec_21,-0.356415
tqwt_minValue_dec_22,-0.35819500000000004
tqwt_minValue_dec_23,-0.39174
tqwt_minValue_dec_24,-0.42976000000000003
tqwt_minValue_dec_25,-0.48497999999999997
tqwt_minValue_dec_26,-0.400755
tqwt_minValue_dec_27,-0.23296
tqwt_minValue_dec_28,-0.136495
tqwt_minValue_dec_29,-0.091918
tqwt_minValue_dec_30,-0.08353949999999999
tqwt_minValue_dec_31,-0.069936
tqwt_minValue_dec_32,-0.0618765
tqwt_minValue_dec_33,-0.0513485
tqwt_minValue_dec_34,-0.0437235
tqwt_minValue_dec_35,-0.0407955
tqwt_minValue_dec_36,-0.088305
tqwt_maxValue_dec_1,0.030819
tqwt_maxValue_dec_2,0.0198055
tqwt_maxValue_dec_3,0.023099500000000002
tqwt_maxValue_dec_4,0.027989
tqwt_maxValue_dec_5,0.0315485
tqwt_maxValue_dec_6,0.033038
tqwt_maxValue_dec_7,0.038918999999999995
tqwt_maxValue_dec_8,0.0516365
tqwt_maxValue_dec_9,0.061437000000000005
tqwt_maxValue_dec_10,0.0627515
tqwt_maxValue_dec_11,0.060889
tqwt_maxValue_dec_12,0.0871245
